school,year,games,wins,losses,ties,preseason_rank,postseason_rank,srs,sp_overall,sp_offense,sp_defense,first_name,last_name
Ole Miss,2016,12,5,7,0,11,,6.1,12.4,38.9,27.9,Hugh,Freeze
Liberty,2019,13,8,5,0,,,-6.7,-2.6,29.3,32,Hugh,Freeze
Liberty,2020,11,10,1,0,,17,1.7,6.5,34.2,27.6,Hugh,Freeze
Georgia Southern,2014,12,9,3,0,,,-0.1,-2.4,32,33.4,Willie,Fritz
Georgia Southern,2015,13,9,4,0,,,4.0,7.3,32.8,26.5,Willie,Fritz
Tulane,2016,12,4,8,0,,,-10.3,-14.6,15.7,28.4,Willie,Fritz
Tulane,2017,12,5,7,0,,,-3.6,-5.7,28.5,35,Willie,Fritz
Tulane,2018,13,7,6,0,,,-5.4,-3.5,23.8,28.3,Willie,Fritz
Tulane,2019,13,7,6,0,,,4.7,7.5,33.1,25.9,Willie,Fritz
Tulane,2020,12,6,6,0,,,,,,,Willie,Fritz
UCF,2016,13,6,7,0,,,-1.2,-2.2,19.3,23.3,Scott,Frost
UCF,2017,13,13,0,0,,6,20.7,14.1,40.5,26.9,Scott,Frost
Nebraska,2018,12,4,8,0,,,2.5,5.4,32.7,26.9,Scott,Frost
Nebraska,2019,12,5,7,0,24,,3.2,2.6,32.2,27.4,Scott,Frost
Nebraska,2020,8,3,5,0,,,0.5,7.7,33.7,25.9,Scott,Frost
Memphis,2014,13,10,3,0,,25,7.3,5.6,26.5,22,Justin,Fuente
Memphis,2015,12,9,3,0,,,9.3,8,35.1,30.4,Justin,Fuente
Virginia Tech,2016,14,10,4,0,,16,15.0,15.2,34.5,19.6,Justin,Fuente
Virginia Tech,2017,13,9,4,0,21,24,14.8,14.3,27.8,14.4,Justin,Fuente
Virginia Tech,2018,13,6,7,0,20,,-2.6,3.9,32.8,29.4,Justin,Fuente
Virginia Tech,2019,13,8,5,0,,,4.5,8,29.9,23.3,Justin,Fuente
Virginia Tech,2020,11,5,6,0,,,,,,,Justin,Fuente
Houston,2014,1,1,0,0,,,-2.3,5.4,30.4,23.6,David,Gibbs
Liberty,2018,12,6,6,0,,,-10.3,-19.7,25.1,41.7,Turner,Gill
Miami,2014,13,6,7,0,,,9.1,13.9,35,21.3,Al,Golden
Miami,2015,7,4,3,0,,,5.1,11,34.9,25.8,Al,Golden
New Mexico,2020,7,2,5,0,,,-11.1,-15,24.4,39.3,Danny,Gonzales
Arizona State,2014,13,10,3,0,19,12,13.4,13.5,36.1,23.3,Todd,Graham
Arizona State,2015,13,6,7,0,15,,6.9,10.2,34.9,27.2,Todd,Graham
Arizona State,2016,12,5,7,0,,,-2.1,-3,32.2,37.6,Todd,Graham
Arizona State,2017,13,7,6,0,,,2.6,1,33.9,33.1,Todd,Graham
Hawai'i,2020,9,5,4,0,,,-3.3,-7.1,28.2,35.2,Todd,Graham
Baylor,2016,13,7,6,0,23,,3.9,11.3,37,24.2,Jim,Grobe
Oklahoma State,2014,13,7,6,0,,,2.6,8.6,32,24,Mike,Gundy
Oklahoma State,2015,13,10,3,0,,20,10.0,9.9,37.7,28.8,Mike,Gundy
Oklahoma State,2016,13,10,3,0,21,11,12.4,16.4,42.4,27,Mike,Gundy
Oklahoma State,2017,13,10,3,0,10,14,18.4,19.1,42.2,23,Mike,Gundy
Oklahoma State,2018,13,7,6,0,,,9.6,13.8,42,28.9,Mike,Gundy
Oklahoma State,2019,13,8,5,0,,,10.8,8.7,35,26.2,Mike,Gundy
Oklahoma State,2020,11,8,3,0,15,20,9.6,14.2,30.7,16.7,Mike,Gundy
Boston College,2020,11,6,5,0,,,,,,,Jeff,Hafley
Florida State,2017,2,2,0,0,3,,10.1,22.8,33.3,12.5,Odell,Haggins
Florida State,2019,4,2,2,0,,,0.2,1.8,30.2,27.1,Odell,Haggins
Oregon State,2017,6,0,6,0,,,-16.5,-12.6,28.8,39.9,Cory,Hall
Northern Illinois,2019,12,5,7,0,,,-14.5,-13.9,20.7,34.2,Thomas,Hammock
Northern Illinois,2020,6,0,6,0,,,,,,,Thomas,Hammock
Michigan,2015,13,10,3,0,,12,17.5,19.7,35.2,16.2,Jim,Harbaugh
Michigan,2016,13,10,3,0,7,10,24.1,24.4,34.8,11.1,Jim,Harbaugh
Michigan,2017,13,8,5,0,11,,12.9,19.6,31.1,11.8,Jim,Harbaugh
Michigan,2018,13,10,3,0,14,,19.0,22,35.5,14.3,Jim,Harbaugh
Michigan,2019,13,9,4,0,7,18,18.1,20.7,35.7,16,Jim,Harbaugh
Michigan,2020,6,2,4,0,16,,-0.6,10.7,33,22.2,Jim,Harbaugh
Boise State,2014,14,12,2,0,,16,10.0,11.6,36.6,24.7,Bryan,Harsin
Boise State,2015,13,9,4,0,23,,8.1,11.8,32.2,20.2,Bryan,Harsin
Boise State,2016,13,10,3,0,,,6.9,11.5,36.7,25,Bryan,Harsin
Boise State,2017,14,11,3,0,,22,7.7,9.1,28.6,20.5,Bryan,Harsin
Boise State,2018,13,10,3,0,22,,9.3,12.2,37.1,22.8,Bryan,Harsin
Boise State,2019,14,12,2,0,,23,8.9,8.1,32.9,25,Bryan,Harsin
Boise State,2020,7,5,2,0,,,7.7,6.7,33.1,26.4,Bryan,Harsin
UNLV,2014,13,2,11,0,,,-21.1,-17.6,22,39.1,Bobby,Hauck
Kent State,2014,11,2,9,0,,,-17.7,-13.7,16.7,29.5,Paul,Haynes
Kent State,2015,12,3,9,0,,,-17.9,-11.9,10.6,21.3,Paul,Haynes
Kent State,2016,12,3,9,0,,,-10.5,-12,16.6,27.4,Paul,Haynes
Kent State,2017,12,2,10,0,,,-22.7,-20.2,14.3,32.4,Paul,Haynes
Purdue,2014,12,3,9,0,,,-6.7,-6.2,22.7,30.2,Darrell,Hazell
Purdue,2015,12,2,10,0,,,-9.2,-7.4,26.6,33.5,Darrell,Hazell
Purdue,2016,6,3,3,0,,,-12.7,-11,25.1,35.6,Darrell,Hazell
Charlotte,2019,13,7,6,0,,,-10.3,-6.3,29.9,35.1,Will,Healy
Charlotte,2020,6,2,4,0,,,-14.8,-6.6,29.4,35.8,Will,Healy
Oregon,2014,15,13,2,0,3,2,27.1,24.7,48.1,23.2,Mark,Helfrich
Oregon,2015,13,9,4,0,7,19,12.3,15.9,46.7,30.4,Mark,Helfrich
Oregon,2016,12,4,8,0,24,,2.2,6.1,42.5,36.1,Mark,Helfrich
USC,2015,9,5,4,0,8,,13.6,16.8,38.6,23.3,Clay,Helton
USC,2016,13,10,3,0,20,3,19.4,23.6,39.2,17.1,Clay,Helton
USC,2017,14,11,3,0,4,12,11.9,17.9,38.5,20,Clay,Helton
USC,2018,12,5,7,0,15,,1.3,9.7,31.7,22.5,Clay,Helton
USC,2019,13,8,5,0,,,9.5,13.1,39,26.7,Clay,Helton
USC,2020,6,5,1,0,17,21,,,,,Clay,Helton
Western Kentucky,2019,13,9,4,0,,,0.0,1.7,23.6,21.1,Tyson,Helton
Western Kentucky,2020,12,5,7,0,,,-10.2,-3.2,18.9,22.3,Tyson,Helton
Houston,2015,14,13,1,0,,8,14.3,6.2,33.6,28.4,Tom,Herman
Houston,2016,12,9,3,0,15,,5.4,10.1,30.8,21.7,Tom,Herman
Texas,2017,13,7,6,0,23,,11.1,10.6,26.7,16.3,Tom,Herman
Texas,2018,14,10,4,0,23,,12.1,11.3,35.3,24.4,Tom,Herman
Texas,2019,13,8,5,0,10,25,16.0,12,38.7,28.5,Tom,Herman
Texas,2020,10,7,3,0,14,19,13.3,9.7,34.8,25.2,Tom,Herman
UCF,2018,13,12,1,0,21,,14.9,16.5,39.9,25.2,Josh,Heupel
UCF,2019,13,10,3,0,17,24,13.3,19.1,37.3,18.1,Josh,Heupel
UCF,2020,10,6,4,0,21,,,,,,Josh,Heupel
Michigan,2014,12,5,7,0,,,1.6,8.2,27,19,Brady,Hoke
Tennessee,2017,2,0,2,0,25,,-7.3,1.2,25.8,25.7,Brady,Hoke
San Diego State,2020,8,4,4,0,,,2.8,5.3,20.2,15,Brady,Hoke
West Virginia,2014,13,7,6,0,,,11.5,8.4,31.3,24.3,Dana,Holgorsen
West Virginia,2015,13,8,5,0,,,11.0,12.9,34.4,19.9,Dana,Holgorsen
West Virginia,2016,13,10,3,0,,18,10.4,11.3,35.7,22.8,Dana,Holgorsen
West Virginia,2017,13,7,6,0,22,,6.5,5.6,33.6,27.2,Dana,Holgorsen
West Virginia,2018,12,8,4,0,17,,17.9,13.2,41.1,29.2,Dana,Holgorsen
Houston,2019,12,4,8,0,,,-0.1,-4.3,29.6,35.4,Dana,Holgorsen
Houston,2020,8,3,5,0,,,,,,,Dana,Holgorsen
Marshall,2014,14,13,1,0,,23,14.6,16.8,38.4,23.1,Doc,Holliday
Marshall,2015,13,10,3,0,,,-0.2,3.5,25.4,20.3,Doc,Holliday
Marshall,2016,12,3,9,0,,,-20.0,-12.7,24.6,35.8,Doc,Holliday
Marshall,2017,13,8,5,0,,,-2.7,-4.5,19.4,23.9,Doc,Holliday
Marshall,2018,13,9,4,0,,,-1.6,1,22,20.5,Doc,Holliday
Marshall,2019,13,8,5,0,,,-4.7,-1.9,23.8,26.6,Doc,Holliday
Marshall,2020,10,7,3,0,,,3.9,9.5,28.6,19,Doc,Holliday
Louisiana Tech,2014,14,9,5,0,,,10.6,-1.7,27,27.5,Skip,Holtz
Louisiana Tech,2015,13,9,4,0,,,-0.3,8.3,35.6,27.4,Skip,Holtz
Louisiana Tech,2016,14,9,5,0,,,1.5,3.1,39.8,36.9,Skip,Holtz
Louisiana Tech,2017,13,7,6,0,,,-5.3,-5.5,26.8,32.7,Skip,Holtz
Louisiana Tech,2018,13,8,5,0,,,-7.9,-6.9,22,27,Skip,Holtz
Louisiana Tech,2019,13,10,3,0,,,-2.6,0.2,25.3,25,Skip,Holtz
Louisiana Tech,2020,10,5,5,0,,,-11.5,-7,24.4,31.4,Skip,Holtz
Southern Mississippi,2016,13,7,6,0,,,-8.8,0.7,29.1,29.6,Jay,Hopson
Southern Mississippi,2017,13,8,5,0,,,-9.7,-3.4,24.9,28.3,Jay,Hopson
Southern Mississippi,2018,11,6,5,0,,,-6.8,-5,16.6,21.4,Jay,Hopson
Southern Mississippi,2019,13,7,6,0,,,-4.9,-4.8,23.6,27.7,Jay,Hopson
Southern Mississippi,2020,1,0,1,0,,,-15.0,-7.9,24.2,32.1,Jay,Hopson
East Carolina,2019,12,4,8,0,,,-15.2,-14,24,38.1,Mike,Houston
East Carolina,2020,9,3,6,0,,,,,,,Mike,Houston
Louisiana,2014,13,9,4,0,,,-5.7,2.2,30,29.3,Mark,Hudspeth
Louisiana,2015,12,4,8,0,,,-18.9,-7.1,24.2,32.1,Mark,Hudspeth
Louisiana,2016,13,6,7,0,,,-9.8,-8.7,19.8,29.4,Mark,Hudspeth
Louisiana,2017,12,5,7,0,,,-20.0,-15.8,27.5,42.9,Mark,Hudspeth
Appalachian State,2018,1,1,0,0,,,10.7,11.9,30,19,Mark,Ivey
Bowling Green,2016,12,4,8,0,,,-12.7,-6.6,25,31.8,Mike,Jinks
Bowling Green,2017,12,2,10,0,,,-14.3,-10,27.5,38.9,Mike,Jinks
Bowling Green,2018,7,1,6,0,,,-21.0,-22,24.7,43.9,Mike,Jinks
Tulane,2014,12,3,9,0,,,-15.5,-15,16.2,28,Curtis,Johnson
Tulane,2015,12,3,9,0,,,-18.9,-14,20.3,32.5,Curtis,Johnson
Georgia Tech,2014,14,11,3,0,,8,18.5,11.2,44.1,32,Paul,Johnson
Georgia Tech,2015,12,3,9,0,16,,4.6,9,33.1,25.4,Paul,Johnson
Georgia Tech,2016,13,9,4,0,,,7.3,7.8,35,28.5,Paul,Johnson
Georgia Tech,2017,11,5,6,0,,,8.7,8.9,34.9,25.1,Paul,Johnson
Georgia Tech,2018,13,7,6,0,,,3.4,0.3,33,33.9,Paul,Johnson
Tennessee,2014,13,7,6,0,,,10.9,12.2,31,19.9,Butch,Jones
Tennessee,2015,13,9,4,0,25,22,17.7,19.5,35.7,17.8,Butch,Jones
Tennessee,2016,13,9,4,0,9,22,10.4,16.3,39.9,25.2,Butch,Jones
Tennessee,2017,10,4,6,0,25,,-7.3,1.2,25.8,25.7,Butch,Jones
South Alabama,2014,13,6,7,0,,,-11.7,-4.3,23.4,28.3,Joey,Jones
South Alabama,2015,12,5,7,0,,,-17.6,-10.4,24.3,33.4,Joey,Jones
South Alabama,2016,13,6,7,0,,,-10.0,-9.4,25.2,33.3,Joey,Jones
South Alabama,2017,12,4,8,0,,,-16.3,-12,18.3,31.4,Joey,Jones
SMU,2014,2,0,2,0,,,-24.6,-21.2,16.6,34.9,June,Jones
Arkansas,2019,2,0,2,0,,,-7.6,-10.6,21.7,32.3,Barry Lunney,Jr.
Notre Dame,2014,13,8,5,0,17,,8.4,10.8,37.5,26,Brian,Kelly
Notre Dame,2015,13,10,3,0,11,11,17.5,22.4,44.1,21.2,Brian,Kelly
Notre Dame,2016,12,4,8,0,10,,6.4,15.7,39.4,23.2,Brian,Kelly
Notre Dame,2017,13,10,3,0,,11,22.0,20.8,37.4,16.9,Brian,Kelly
Notre Dame,2018,13,12,1,0,12,,17.7,20.7,34.6,14.5,Brian,Kelly
Notre Dame,2019,13,11,2,0,9,12,18.8,17.7,35.8,18.5,Brian,Kelly
Notre Dame,2020,12,10,2,0,10,5,,,,,Brian,Kelly
UCLA,2018,12,3,9,0,,,-4.0,-0.4,30.7,32.4,Chip,Kelly
UCLA,2019,12,4,8,0,,,-1.5,-3.9,28.4,32.5,Chip,Kelly
UCLA,2020,7,3,4,0,,,,,,,Chip,Kelly
Auburn,2020,1,0,1,0,11,,7.9,12.6,33,20.7,,Kevin Steele
Fresno State,2016,4,0,4,0,,,-20.5,-16.9,16.4,33.9,Eric,Kiesau
Florida Atlantic,2017,14,11,3,0,,,9.5,5.1,34.7,31.3,Lane,Kiffin
Florida Atlantic,2018,12,5,7,0,,,-4.0,-0.8,30.8,29.9,Lane,Kiffin
Florida Atlantic,2019,14,11,3,0,,,8.1,-0.6,28.6,29.5,Lane,Kiffin
Ole Miss,2020,10,5,5,0,,,6.1,4.8,38.1,33.2,Lane,Kiffin
Minnesota,2014,13,8,5,0,,,8.0,6.8,29.7,24.3,Jerry,Kill
Minnesota,2015,7,4,3,0,,,0.2,8.1,28.1,22.4,Jerry,Kill
Texas Tech,2014,12,4,8,0,,,-1.3,4.9,39.9,35.3,Kliff,Kingsbury
Texas Tech,2015,13,7,6,0,,,5.2,4.5,44.8,40.3,Kliff,Kingsbury
Texas Tech,2016,12,5,7,0,,,1.0,3.7,40.6,36.9,Kliff,Kingsbury
Texas Tech,2017,13,6,7,0,,,4.8,4.8,34.4,28.3,Kliff,Kingsbury
Texas Tech,2018,12,5,7,0,,,7.3,8.7,36.2,29.8,Kliff,Kingsbury
Kansas State,2019,13,8,5,0,,,10.4,6,28.8,24.8,Chris,Klieman
Kansas State,2020,10,4,6,0,,,1.0,2,26.7,24.7,Chris,Klieman
Mississippi State,2017,1,1,0,0,,19,14.1,16,32.4,18.1,Greg,Knox
UTEP,2014,13,7,6,0,,,-5.9,-12,23.5,35.4,Sean,Kugler
UTEP,2015,12,5,7,0,,,-22.4,-19.5,18.7,37.8,Sean,Kugler
UTEP,2016,12,4,8,0,,,-21.3,-16.1,25,40.6,Sean,Kugler
UTEP,2017,5,0,5,0,,,-28.9,-27.4,12.8,38.7,Sean,Kugler
Washington,2020,4,3,1,0,,,,,,,Jimmy,Lake
Charlotte,2015,12,2,10,0,,,-27.9,-21.7,11.9,31.9,Brad,Lambert
Charlotte,2016,12,4,8,0,,,-19.6,-20.9,17.6,36.9,Brad,Lambert
Charlotte,2017,12,1,11,0,,,-25.4,-26.1,13.7,37.7,Brad,Lambert
Charlotte,2018,12,5,7,0,,,-12.2,-18.5,15,33.5,Brad,Lambert
Georgia State,2016,2,1,1,0,,,-14.6,-12.1,17.3,26.7,Tim,Lappano
Washington State,2014,12,3,9,0,,,-1.9,-1.7,33,32.8,Mike,Leach
Washington State,2015,13,9,4,0,,,8.0,4.2,35.8,29.4,Mike,Leach
Washington State,2016,13,8,5,0,,,15.5,6.2,36.2,27.8,Mike,Leach
Washington State,2017,13,9,4,0,24,,6.6,8.6,30.9,22.1,Mike,Leach
Washington State,2018,13,11,2,0,,,12.9,11.3,38.8,27.3,Mike,Leach
Washington State,2019,13,6,7,0,23,,6.7,11.1,41.7,33.1,Mike,Leach
Mississippi State,2020,11,4,7,0,,,1.6,-1.4,25.4,26.9,Mike,Leach
Buffalo,2015,12,5,7,0,,,-10.8,-10.3,24.1,32.2,Lance,Leipold
Buffalo,2016,12,2,10,0,,,-22.8,-18.8,16.8,33.5,Lance,Leipold
Buffalo,2017,12,6,6,0,,,-4.3,-11.2,24.9,33.9,Lance,Leipold
Buffalo,2018,14,10,4,0,,,0.5,-1.1,31.3,29.9,Lance,Leipold
Buffalo,2019,13,8,5,0,,,-1.0,-2,25,24.6,Lance,Leipold
Buffalo,2020,7,6,1,0,,25,,,,,Lance,Leipold
Ball State,2014,12,5,7,0,,,-10.4,-6.6,25.6,33.9,Pete,Lembo
Ball State,2015,12,3,9,0,,,-14.9,-15.5,21.9,37.3,Pete,Lembo
Western Michigan,2017,12,6,6,0,,,-4.4,-2.4,25.7,28.4,Tim,Lester
Western Michigan,2018,13,7,6,0,,,-10.3,-10.7,29.8,37.4,Tim,Lester
Western Michigan,2019,13,7,6,0,,,-4.5,-4.9,29.6,32.5,Tim,Lester
Western Michigan,2020,6,4,2,0,,,,,,,Tim,Lester
Houston,2014,12,7,5,0,,,-2.3,5.4,30.4,23.6,Tony,Levine
Kent State,2018,12,2,10,0,,,-19.4,-20.4,20.5,40.3,Sean,Lewis
Kent State,2019,13,7,6,0,,,-7.2,-10.2,25.9,37.9,Sean,Lewis
Kent State,2020,4,3,1,0,,,,,,,Sean,Lewis
Troy,2019,12,5,7,0,,,-9.6,-4.4,32.2,35.4,Chip,Lindsey
Troy,2020,11,5,6,0,,,4.0,2.3,28.4,25.8,Chip,Lindsey
North Texas,2016,13,5,8,0,,,-16.5,-14.6,22,37.5,Seth,Littrell
North Texas,2017,14,9,5,0,,,-8.2,-4.5,28.6,34.3,Seth,Littrell
North Texas,2018,13,9,4,0,,,-2.3,2.1,29.2,29.5,Seth,Littrell
North Texas,2019,12,4,8,0,,,-11.8,-6.1,25,32.6,Seth,Littrell
North Texas,2020,10,4,6,0,,,-19.8,-8,28.9,36.7,Seth,Littrell
Maryland,2019,12,3,9,0,,,-5.6,-6.3,26.3,30.3,Mike,Locksley
Maryland,2020,5,2,3,0,,,-0.4,-0.1,27.8,28,Mike,Locksley
Bowling Green,2019,12,3,9,0,,,-28.5,-27.5,14.9,39.5,Scot,Loeffler
Bowling Green,2020,5,0,5,0,,,,,,,Scot,Loeffler
Virginia,2014,12,5,7,0,,,5.1,4,23.5,20.4,Mike,London
Virginia,2015,12,4,8,0,,,1.3,1.4,33,30.8,Mike,London
San Diego State,2014,13,7,6,0,,,-4.5,1,25.1,24.6,Rocky,Long
San Diego State,2015,14,11,3,0,,,6.2,8,28.6,22.6,Rocky,Long
San Diego State,2016,14,11,3,0,,25,5.4,11.4,32,22.5,Rocky,Long
San Diego State,2017,13,10,3,0,,,3.1,4.5,28.5,24.8,Rocky,Long
San Diego State,2018,13,7,6,0,,,-4.8,6,25.6,21,Rocky,Long
San Diego State,2019,13,10,3,0,,,1.7,2,16.6,16.6,Rocky,Long
Ole Miss,2017,12,6,6,0,,,1.6,11.6,38.9,28.8,Matt,Luke
Ole Miss,2018,12,5,7,0,,,3.5,9.8,42.1,31.2,Matt,Luke
Ole Miss,2019,12,4,8,0,,,6.5,2.9,28.6,23.8,Matt,Luke
Georgia Southern,2017,6,2,4,0,,,-17.4,-15.8,18.3,35.5,Chad,Lunsford
Georgia Southern,2018,13,10,3,0,,,-0.4,-2.4,27.9,31.6,Chad,Lunsford
Georgia Southern,2019,13,7,6,0,,,-1.0,-4.5,22.2,27.4,Chad,Lunsford
Georgia Southern,2020,13,8,5,0,,,1.2,0.2,27.4,27.1,Chad,Lunsford
Colorado,2014,12,2,10,0,,,-4.1,-5,32.5,38.9,Mike,MacIntyre
Colorado,2015,13,4,9,0,,,-4.6,-4,25.8,28.5,Mike,MacIntyre
Colorado,2016,14,10,4,0,,17,15.3,6.3,29.3,21.7,Mike,MacIntyre
Colorado,2017,12,5,7,0,,,-2.8,2,30.3,30.1,Mike,MacIntyre
Colorado,2018,11,5,6,0,,,-2.4,-0.7,27,27.2,Mike,MacIntyre
Utah State,2018,1,1,0,0,,,13.9,14.2,36.3,22.5,Frank,Maile
Auburn,2014,13,8,5,0,6,22,21.1,24.2,45.2,22.1,Gus,Malzahn
Auburn,2015,13,7,6,0,6,,9.1,14.6,36.1,23.1,Gus,Malzahn
Auburn,2016,13,8,5,0,,24,16.8,15.3,32.1,18.4,Gus,Malzahn
Auburn,2017,14,10,4,0,12,10,23.6,24.7,35.4,11,Gus,Malzahn
Auburn,2018,13,8,5,0,9,,15.0,23.6,36.9,14.1,Gus,Malzahn
Auburn,2019,13,9,4,0,16,14,22.1,21,33.9,14.9,Gus,Malzahn
Auburn,2020,10,6,4,0,11,,7.9,12.6,33,20.7,Gus,Malzahn
Miami (OH),2014,12,2,10,0,,,-16.1,-18.7,21.5,37.9,Chuck,Martin
Miami (OH),2015,12,3,9,0,,,-19.3,-13.5,16.8,29.5,Chuck,Martin
Miami (OH),2016,13,6,7,0,,,-7.1,-6.1,23.8,29,Chuck,Martin
Miami (OH),2017,12,5,7,0,,,-8.4,-2.2,24.2,26.9,Chuck,Martin
Miami (OH),2018,12,6,6,0,,,-2.2,-0.7,26.2,28.4,Chuck,Martin
Miami (OH),2019,14,8,6,0,,,-7.0,-9.2,19.8,30,Chuck,Martin
Miami (OH),2020,3,2,1,0,,,,,,,Chuck,Martin
New Mexico State,2014,12,2,10,0,,,-25.5,-23.3,23,43.3,Doug,Martin
New Mexico State,2015,12,3,9,0,,,-22.3,-18.6,24.5,42.2,Doug,Martin
New Mexico State,2016,12,3,9,0,,,-18.6,-17.2,23.2,39.5,Doug,Martin
New Mexico State,2017,13,7,6,0,,,-11.2,-9.4,24.5,32.6,Doug,Martin
New Mexico State,2018,12,3,9,0,,,-21.7,-20.2,19.2,38,Doug,Martin
New Mexico State,2019,12,2,10,0,,,-20.0,-22,19,40.3,Doug,Martin
New Mexico State,2020,2,1,1,0,,,,,,,Doug,Martin
Vanderbilt,2014,12,3,9,0,,,-9.6,-4.3,22,25.3,Derek,Mason
Vanderbilt,2015,12,4,8,0,,,-1.9,-1.6,17.8,19.3,Derek,Mason
Vanderbilt,2016,13,6,7,0,,,2.6,-1.2,25.3,26.3,Derek,Mason
Vanderbilt,2017,12,5,7,0,,,-5.1,0.6,32.3,29,Derek,Mason
Vanderbilt,2018,13,6,7,0,,,9.9,7.6,35.6,27.1,Derek,Mason
Vanderbilt,2019,12,3,9,0,,,-12.6,-10.4,21.8,33.6,Derek,Mason
Vanderbilt,2020,8,0,8,0,,,-14.4,-16.8,17.7,34.1,Derek,Mason
North Texas,2014,12,4,8,0,,,-15.8,-9.4,20.2,31.2,Dan,McCarney
North Texas,2015,5,0,5,0,,,-24.4,-25,13.3,39.2,Dan,McCarney
Colorado State,2014,12,10,2,0,,,3.1,4.5,33.2,29.2,Jim,McElwain
Florida,2015,14,10,4,0,,25,9.7,13.8,26.7,15.8,Jim,McElwain
Florida,2016,13,9,4,0,25,14,12.4,15.4,26.6,14,Jim,McElwain
Florida,2017,7,3,4,0,17,,-0.9,10.1,30.8,22.4,Jim,McElwain
Central Michigan,2019,14,8,6,0,,,-6.3,-4.4,26,29,Jim,McElwain
Central Michigan,2020,6,3,3,0,,,,,,,Jim,McElwain
East Carolina,2014,13,8,5,0,,,1.0,8.5,34.7,24.6,Ruffin,McNeill
East Carolina,2015,12,5,7,0,,,1.8,-0.5,28.6,27.9,Ruffin,McNeill
BYU,2014,13,8,5,0,,,3.4,10.2,33.1,24.1,Bronco,Mendenhall
BYU,2015,13,9,4,0,,,8.4,8.7,31.9,24.6,Bronco,Mendenhall
Virginia,2016,12,2,10,0,,,-5.4,-3.8,25.4,28.5,Bronco,Mendenhall
Virginia,2017,13,6,7,0,,,-0.8,0.8,25,23.3,Bronco,Mendenhall
Virginia,2018,13,8,5,0,,,7.6,7.1,29.7,22,Bronco,Mendenhall
Virginia,2019,14,9,5,0,,,6.3,6.3,30.4,25.2,Bronco,Mendenhall
Virginia,2020,10,5,5,0,,,,,,,Bronco,Mendenhall
Ohio State,2014,15,14,1,0,5,1,23.9,25.8,45.6,20.1,Urban,Meyer
Ohio State,2015,13,12,1,0,1,4,21.9,29.5,41.3,13.5,Urban,Meyer
Ohio State,2016,13,11,2,0,6,6,23.3,22.4,35.6,15,Urban,Meyer
Ohio State,2017,14,12,2,0,2,5,25.6,30.9,42.9,12.8,Urban,Meyer
Ohio State,2018,11,10,1,0,5,,18.1,24.1,44.4,21.2,Urban,Meyer
South Carolina,2020,3,0,3,0,,,-5.4,-2.4,27.5,29.7,,Mike Bobo
LSU,2014,13,8,5,0,13,,13.9,21.5,34.2,13.3,Les,Miles
LSU,2015,12,9,3,0,14,16,16.2,19.7,41.3,21.8,Les,Miles
LSU,2016,4,2,2,0,5,13,21.2,25.3,34.2,9,Les,Miles
Kansas,2019,12,3,9,0,,,-5.1,-9.8,26.2,34.8,Les,Miles
Kansas,2020,9,0,9,0,,,-14.6,-16.3,18.5,34.5,Les,Miles
Georgia State,2014,12,1,11,0,,,-26.4,-22.8,22.8,45.9,Trent,Miles
Georgia State,2015,13,6,7,0,,,-11.0,-6.7,28,31.9,Trent,Miles
Georgia State,2016,10,1,8,0,,,-14.6,-12.1,17.3,26.7,Trent,Miles
Coastal Carolina,2018,12,5,7,0,,,-15.9,-17.2,28.1,45.7,Joe,Moglia
Army,2014,12,4,8,0,,,-16.4,-16.9,25.2,40.9,Jeff,Monken
Army,2015,12,2,10,0,,,-11.5,-21.7,20.3,39,Jeff,Monken
Army,2016,13,8,5,0,,,-5.2,-9.9,22.2,29.2,Jeff,Monken
Army,2017,13,10,3,0,,,0.9,-5.3,32.1,35,Jeff,Monken
Army,2018,13,11,2,0,,,9.5,-1.5,29.4,28.7,Jeff,Monken
Army,2019,13,5,8,0,,,-5.8,-2.1,28.6,30.4,Jeff,Monken
Army,2020,12,9,3,0,,,2.5,2.7,27.8,25.3,Jeff,Monken
Southern Mississippi,2014,12,3,9,0,,,-13.9,-15.9,19,34.8,Todd,Monken
Southern Mississippi,2015,14,9,5,0,,,1.8,1.4,31.3,31.1,Todd,Monken
Tulsa,2015,13,6,7,0,,,-5.3,-8.5,32.4,41.2,Philip,Montgomery
Tulsa,2016,13,10,3,0,,,5.9,7.4,34.6,27.6,Philip,Montgomery
Tulsa,2017,12,2,10,0,,,-8.7,-10.7,27.3,37.8,Philip,Montgomery
Tulsa,2018,12,3,9,0,,,-12.0,-11.2,22.9,32.3,Philip,Montgomery
Tulsa,2019,12,4,8,0,,,-0.1,-2.5,24.6,25.2,Philip,Montgomery
Tulsa,2020,9,6,3,0,,,,,,,Philip,Montgomery
East Carolina,2016,12,3,9,0,,,-13.2,-9,27.2,35.1,Scottie,Montgomery
East Carolina,2017,12,3,9,0,,,-14.8,-14,27.2,41.8,Scottie,Montgomery
East Carolina,2018,11,3,8,0,,,-15.7,-14.9,18.3,34.2,Scottie,Montgomery
Mississippi State,2018,13,8,5,0,18,,19.8,23.2,34.6,10.5,Joe,Moorhead
Mississippi State,2019,13,6,7,0,,,5.0,3.5,33.1,28.7,Joe,Moorhead
UCLA,2014,13,10,3,0,7,10,15.5,17.7,39.9,23,Jim,Mora
